"","pos","club","F","A","goaldiff","Pts"
"1",1,"Liverpool",15,2,"+13",21
"2",2,"Barcelona",26,11,"+15",18
"3",3,"Arsenal",14,2,"+12",16
"4",4,"Inter Milan",8,1,"+7",16
"5",5,"Atlético Madrid",16,11,"+5",15
"6",6,"AC Milan",13,9,"+4",15
"7",7,"Atalanta",18,4,"+14",14
"8",8,"Bayer 04 Leverkusen",13,7,"+6",13
"9",9,"Aston Villa",9,4,"+5",13
"10",10,"Monaco",13,10,"+3",13
"11",11,"Feyenoord",17,15,"+2",13
"12",12,"Lille",11,9,"+2",13
"13",13,"Brest",10,8,"+2",13
"14",14,"Borussia Dortmund",19,11,"+8",12
"15",15,"Bayern Munich",17,11,"+6",12
"16",16,"Real Madrid",17,12,"+5",12
"17",17,"Juventus",9,5,"+4",12
"18",18,"Celtic",11,10,"+1",12
"19",19,"PSV Eindhoven",13,10,"+3",11
"20",20,"Club Brugge",6,8,"-2",11
"21",21,"Benfica",14,12,"+2",10
"22",22,"Paris St Germain",10,8,"+2",10
"23",23,"Sporting Lisbon",12,11,"+1",10
"24",24,"VfB Stuttgart",12,13,"-1",10
"25",25,"Manchester City",15,13,"+2",8
"26",26,"Dinamo Zagreb",10,18,"-8",8
"27",27,"Shakhtar Donetsk",7,13,"-6",7
"28",28,"Bologna",3,8,"-5",5
"29",29,"Sparta Prague",7,19,"-12",4
"30",30,"RB Leipzig",8,14,"-6",3
"31",31,"Girona",4,11,"-7",3
"32",32,"Crvena Zvezda",12,22,"-10",3
"33",33,"Sturm Graz",4,14,"-10",3
"34",34,"SV Red Bull Salzburg",4,23,"-19",3
"35",35,"Slovan Bratislava",6,24,"-18",0
"36",36,"Young Boys",3,23,"-20",0
